recolhas,zmax,fracao_no_teto,dentro,agentes_dentro,travessias,travessias_teto,agentes_atravessam,agentes_presos,campanha,algo,cenario,run,modelo,sha1,seed,erro
137,1.09,0.0,0,0,0,0,0,0,final_7d,GNN,bottleneck,6.0,results/models/gnn_3d_best_bottleneck_run6.pth,fd92a6e5e2a6,2024,
134,1.06,0.0,0,0,0,0,0,0,final_7d,GNN,bottleneck,6.0,results/models/gnn_3d_best_bottleneck_run6.pth,fd92a6e5e2a6,2025,
127,1.1,0.0,0,0,0,0,0,0,final_7d,GNN,bottleneck,6.0,results/models/gnn_3d_best_bottleneck_run6.pth,fd92a6e5e2a6,2026,
143,1.73,0.0,0,0,0,0,0,0,final_7d,GNN,bottleneck,7.0,results/models/gnn_3d_best_bottleneck_run7.pth,1fa2bf319238,2024,
140,1.53,0.0,0,0,0,0,0,0,final_7d,GNN,bottleneck,7.0,results/models/gnn_3d_best_bottleneck_run7.pth,1fa2bf319238,2025,
138,2.4,0.0,0,0,0,0,0,0,final_7d,GNN,bottleneck,7.0,results/models/gnn_3d_best_bottleneck_run7.pth,1fa2bf319238,2026,
72,4.98,0.0,0,0,0,0,0,0,final_7d,GNN,four_rooms,,results/models/gnn_3d_best_four_rooms.pth,9b667eacf8ed,2024,
74,3.03,0.0,0,0,0,0,0,0,final_7d,GNN,four_rooms,,results/models/gnn_3d_best_four_rooms.pth,9b667eacf8ed,2025,
85,3.67,0.0,0,0,0,0,0,0,final_7d,GNN,four_rooms,,results/models/gnn_3d_best_four_rooms.pth,9b667eacf8ed,2026,
62,1.74,0.0,287,16,17,0,15,1,final_7d,GNN,four_rooms,1.0,results/models/gnn_3d_best_four_rooms_run1.pth,ff1d56927e48,2024,
57,2.46,0.0,411,18,24,0,18,0,final_7d,GNN,four_rooms,1.0,results/models/gnn_3d_best_four_rooms_run1.pth,ff1d56927e48,2025,
65,1.82,0.0,309,17,20,0,16,1,final_7d,GNN,four_rooms,1.0,results/models/gnn_3d_best_four_rooms_run1.pth,ff1d56927e48,2026,
50,13.86,0.0,0,0,0,0,0,0,final_7d,GNN,four_rooms,2.0,results/models/gnn_3d_best_four_rooms_run2.pth,d573a0e6508f,2024,
42,7.57,0.0,0,0,0,0,0,0,final_7d,GNN,four_rooms,2.0,results/models/gnn_3d_best_four_rooms_run2.pth,d573a0e6508f,2025,
48,9.45,0.0,1,1,0,0,0,1,final_7d,GNN,four_rooms,2.0,results/models/gnn_3d_best_four_rooms_run2.pth,d573a0e6508f,2026,
44,14.79,0.544,3,2,0,0,0,2,final_7d,GNN,four_rooms,3.0,results/models/gnn_3d_best_four_rooms_run3.pth,635b49bcdfe4,2024,
40,14.79,0.508,2,2,0,0,0,2,final_7d,GNN,four_rooms,3.0,results/models/gnn_3d_best_four_rooms_run3.pth,635b49bcdfe4,2025,
45,14.79,0.362,1,1,0,0,0,1,final_7d,GNN,four_rooms,3.0,results/models/gnn_3d_best_four_rooms_run3.pth,635b49bcdfe4,2026,
125,1.62,0.0,0,0,0,0,0,0,final_7d,PPO,bottleneck,,results/models_ppo/ppo_3d_final_bottleneck.zip,c1ac234302c0,2024,
128,1.49,0.0,0,0,0,0,0,0,final_7d,PPO,bottleneck,,results/models_ppo/ppo_3d_final_bottleneck.zip,c1ac234302c0,2025,
126,1.31,0.0,0,0,0,0,0,0,final_7d,PPO,bottleneck,,results/models_ppo/ppo_3d_final_bottleneck.zip,c1ac234302c0,2026,
